Index;Qty;Part Number;Device;Parts;Value;Package;Description
43;2;568-4070-1-ND;PCA9665 IC CNTRLR PARALLEL/I2C 20TSSOP;IC14, IC15;PCA9665;TSSOP20;IC CNTRLR PARALLEL/I2C 20TSSOP
44;2;‎450-2133-1-ND‎;SMD-BUTTON(4P-4.0X4.0X1.7MM)-DHT-1152;SW1, SW2;RESET, SINGLE STEP;SW4-SMD-4.0X4.0X1.7MM;311020027
45;1;L62405CT-ND;SMD-LED-CLEAR-GREEN(0805);D6;SMD-LED-CLEAR-GREEN(0805);LED-0805;304090057
46;2;L62401CT-ND;SMD-LED-CLEAR-RED(0805);D7, D8;SMD-LED-CLEAR-RED(0805);LED-0805;304090046
47;1;L62407CT-ND;SMD-LED-CLEAR-YELLOW(0805);D5;SMD-LED-CLEAR-YELLOW(0805);LED-0805;304090039
48;1;‎296-14668-1-ND‎;SN74ABT541BDW;U4;SN74ABT541BDW;SOIC127P1030X265-20N;OCTAL BUFFERS/DRIVERS
49;1;296-4140-1-ND‎;SN74ABTH245DW;U3;SN74ABTH245DW;SOIC127P1030X265-20N;OCTAL BUS TRANSCEIVERS
50;1;296-15582-1-ND;SN74LVC1G97DCKR;U7;SN74LVC1G97DCKR;SOT65P210X110-6N;CONFIGURABLE MULTIPLE-FUNCTION GATE
51;1;SST39SF020A-55-4C-NHE;SST39VF010;IC5;SST39VF010;S32;1 Mbit x8 Multi-Purpose Flash
52;1;296-1872-5-ND;TLC7705ID;U22;TLC7705ID;SOIC127P600X175-8N;MICROPOWER SUPPLY VOLTAGE SUPERVISOR
53;1;269-4307-ND;Z8X180PLCC68-S;U1;Z8X180PLCC68-S;PLCC-S68;Zilog Z80S180/Z80L180
;;;;;;;
54;1;AE11106-ND;CONN SOCKET PLCC 32POS TIN;IC5;;;
55;1;ED90010-ND;CONN SOCKET PLCC 68POS TIN;U1;;;
56;2;AE9998-ND;CONN IC DIP SOCKET 20POS TIN;IC6, IC7;;;
57;1;ED90041-ND;CONN IC DIP SOCKET 24POS GOLD;U2;;;
58;1;ED90008-ND;CONN SOCKET PLCC 44POS TIN;IC9;;;
59;9;AE9989-ND;CONN IC DIP SOCKET 14POS TIN;DIS1, DIS2, DIS3, DIS4, DIS5, DIS6, DIS7, DIS8, DIS9;;;
