"Part";"Value";"Device";"Package";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"SUPPLIER";"TP_SIGNAL_NAME";"VALUE";
"D7";"SMD-LED-CLEAR-RED(0805)";"SMD-LED-CLEAR-RED(0805)";"LED-0805";"304090046";"";"17-215SURC/S530-A2/TR8";"";"";"";"";"";"";
"D8";"SMD-LED-CLEAR-RED(0805)";"SMD-LED-CLEAR-RED(0805)";"LED-0805";"304090046";"";"17-215SURC/S530-A2/TR8";"";"";"";"";"";"";
"D9";"1N4148WS";"1N4148WS";"SOD323F";"1N4148 General Purpose Rectifie";"";"";"";"";"";"";"";"";
"DIS1";"HTIL311A";"HTIL311A";"HTIL311A";"LED DISPLAY  1-character dot matrix, 2 decimal points";"";"";"unknown";"unknown";"";"";"";"";
"DIS2";"HTIL311A";"HTIL311A";"HTIL311A";"LED DISPLAY  1-character dot matrix, 2 decimal points";"";"";"unknown";"unknown";"";"";"";"";
"DIS3";"HTIL311A";"HTIL311A";"HTIL311A";"LED DISPLAY  1-character dot matrix, 2 decimal points";"";"";"unknown";"unknown";"";"";"";"";
"DIS4";"HTIL311A";"HTIL311A";"HTIL311A";"LED DISPLAY  1-character dot matrix, 2 decimal points";"";"";"unknown";"unknown";"";"";"";"";
"DIS5";"HTIL311A";"HTIL311A";"HTIL311A";"LED DISPLAY  1-character dot matrix, 2 decimal points";"";"";"unknown";"unknown";"";"";"";"";
"DIS6";"HTIL311A";"HTIL311A";"HTIL311A";"LED DISPLAY  1-character dot matrix, 2 decimal points";"";"";"unknown";"unknown";"";"";"";"";
"DIS7";"HTIL311A";"HTIL311A";"HTIL311A";"LED DISPLAY  1-character dot matrix, 2 decimal points";"";"";"unknown";"unknown";"";"";"";"";
"DIS8";"HTIL311A";"HTIL311A";"HTIL311A";"LED DISPLAY  1-character dot matrix, 2 decimal points";"";"";"unknown";"unknown";"";"";"";"";
"DIS9";"HTIL311A";"HTIL311A";"HTIL311A";"LED DISPLAY  1-character dot matrix, 2 decimal points";"";"";"unknown";"unknown";"";"";"";"";
"ESP-01S";"ESP-01S";"DIP-BLACK-FEMALE-HEADER(2X4P-2.54)";"H2X4-2.54";"320030087";"";"";"";"";"";"";"";"2X4P-2.54";
